"id","name_emploee","departmen","position","rate","month","bonus","payroll","total","name_dep"
16,"Nick T",5,"SEO Specialist",1500,"2019.04",123,0,1623,"Marketing"
17,"Vladimir K",5,"PPC Specialist",1250,"2019.04",0,0,1250,"Marketing"
18,"Inga D",5,"SMM Specialist",1000,"2019.04",122,0,1122,"Marketing"
19,"Svetlana U",5,"Designer",1000,"2019.04",378,0,1378,"Marketing"
1,"Alex T",1,"Department Head",3000,"2019.05",0,39,2961,"Analytics"
2,"John M",1,"Analyst",1800,"2019.05",59,27,1832,"Analytics"
3,"Anna M",1,"Junior Analyst",1000,"2019.05",0,30,970,"Analytics"
4,"Yuriy A",2,"Department Head",2200,"2019.05",0,0,2200,"Sales"
5,"Julia R",2,"Sales Manager",1300,"2019.05",0,0,1300,"Sales"
6,"Piter O",2,"Sales Manager",1300,"2019.05",0,0,1300,"Sales"
7,"Sergey P",2,"Sales Manager",1300,"2019.05",0,42,1258,"Sales"
8,"Andrew F",3,"Department Head",3000,"2019.05",231,0,3231,"Programming"
9,"Galina S",3,"Programmer",2000,"2019.05",0,0,2000,"Programming"
10,"Igor L",3,"Junior Programmer",1000,"2019.05",0,0,1000,"Programming"
11,"Kirill O",4,"Department Head",1300,"2019.05",0,0,1300,"Operation"
12,"Olga M",4,"Operation manager",700,"2019.05",0,0,700,"Operation"
13,"Evgeniy N",4,"Operation manager",700,"2019.05",0,25,675,"Operation"
14,"Robert L",4,"Operation manager",700,"2019.05",0,0,700,"Operation"
15,"Alex N",5,"Department Head",2500,"2019.05",0,45,2455,"Marketing"
16,"Nick T",5,"SEO Specialist",1500,"2019.05",87,0,1587,"Marketing"
17,"Vladimir K",5,"PPC Specialist",1250,"2019.05",168,0,1418,"Marketing"
18,"Inga D",5,"SMM Specialist",1000,"2019.05",190,0,1190,"Marketing"
19,"Svetlana U",5,"Designer",1000,"2019.05",184,0,1184,"Marketing"
1,"Alex T",1,"Department Head",3000,"2019.06",194,80,3114,"Analytics"
2,"John M",1,"Analyst",1800,"2019.06",146,38,1908,"Analytics"
3,"Anna M",1,"Junior Analyst",1000,"2019.06",165,0,1165,"Analytics"
4,"Yuriy A",2,"Department Head",2200,"2019.06",0,0,2200,"Sales"
5,"Julia R",2,"Sales Manager",1300,"2019.06",263,0,1563,"Sales"
6,"Piter O",2,"Sales Manager",1300,"2019.06",0,0,1300,"Sales"
7,"Sergey P",2,"Sales Manager",1300,"2019.06",0,66,1234,"Sales"
8,"Andrew F",3,"Department Head",3000,"2019.06",0,19,2981,"Programming"
9,"Galina S",3,"Programmer",2000,"2019.06",0,56,1944,"Programming"
10,"Igor L",3,"Junior Programmer",1000,"2019.06",0,0,1000,"Programming"
11,"Kirill O",4,"Department Head",1300,"2019.06",274,130,1444,"Operation"
12,"Olga M",4,"Operation manager",700,"2019.06",95,0,795,"Operation"
13,"Evgeniy N",4,"Operation manager",700,"2019.06",0,0,700,"Operation"
14,"Robert L",4,"Operation manager",700,"2019.06",190,0,890,"Operation"
15,"Alex N",5,"Department Head",2500,"2019.06",130,31,2599,"Marketing"
16,"Nick T",5,"SEO Specialist",1500,"2019.06",87,0,1587,"Marketing"
17,"Vladimir K",5,"PPC Specialist",1250,"2019.06",142,25,1367,"Marketing"
18,"Inga D",5,"SMM Specialist",1000,"2019.06",0,0,1000,"Marketing"
19,"Svetlana U",5,"Designer",1000,"2019.06",192,34,1158,"Marketing"
1,"Alex T",1,"Department Head",3000,"2019.07",88,0,3088,"Analytics"
2,"John M",1,"Analyst",1800,"2019.07",185,0,1985,"Analytics"
3,"Anna M",1,"Junior Analyst",1000,"2019.07",0,31,969,"Analytics"
4,"Yuriy A",2,"Department Head",2200,"2019.07",185,20,2365,"Sales"
5,"Julia R",2,"Sales Manager",1300,"2019.07",144,28,1416,"Sales"
6,"Piter O",2,"Sales Manager",1300,"2019.07",0,41,1259,"Sales"
7,"Sergey P",2,"Sales Manager",1300,"2019.07",0,0,1300,"Sales"
8,"Andrew F",3,"Department Head",3000,"2019.07",0,22,2978,"Programming"
9,"Galina S",3,"Programmer",2000,"2019.07",0,45,1955,"Programming"
10,"Igor L",3,"Junior Programmer",1000,"2019.07",0,0,1000,"Programming"
11,"Kirill O",4,"Department Head",1300,"2019.07",273,45,1528,"Operation"
12,"Olga M",4,"Operation manager",700,"2019.07",0,45,655,"Operation"
13,"Evgeniy N",4,"Operation manager",700,"2019.07",295,22,973,"Operation"
14,"Robert L",4,"Operation manager",700,"2019.07",0,29,671,"Operation"
15,"Alex N",5,"Department Head",2500,"2019.07",92,37,2555,"Marketing"
16,"Nick T",5,"SEO Specialist",1500,"2019.07",0,0,1500,"Marketing"
17,"Vladimir K",5,"PPC Specialist",1250,"2019.07",0,0,1250,"Marketing"
18,"Inga D",5,"SMM Specialist",1000,"2019.07",0,80,920,"Marketing"
19,"Svetlana U",5,"Designer",1000,"2019.07",196,0,1196,"Marketing"
1,"Alex T",1,"Department Head",3000,"2019.08",0,0,3000,"Analytics"
2,"John M",1,"Analyst",1800,"2019.08",191,0,1991,"Analytics"
3,"Anna M",1,"Junior Analyst",1000,"2019.08",64,56,1008,"Analytics"
4,"Yuriy A",2,"Department Head",2200,"2019.08",0,49,2151,"Sales"
5,"Julia R",2,"Sales Manager",1300,"2019.08",0,0,1300,"Sales"
6,"Piter O",2,"Sales Manager",1300,"2019.08",0,40,1260,"Sales"
7,"Sergey P",2,"Sales Manager",1300,"2019.08",0,0,1300,"Sales"
8,"Andrew F",3,"Department Head",3000,"2019.08",178,0,3178,"Programming"
9,"Galina S",3,"Programmer",2000,"2019.08",0,0,2000,"Programming"
10,"Igor L",3,"Junior Programmer",1000,"2019.08",232,0,1232,"Programming"
11,"Kirill O",4,"Department Head",1300,"2019.08",0,0,1300,"Operation"
12,"Olga M",4,"Operation manager",700,"2019.08",192,0,892,"Operation"
13,"Evgeniy N",4,"Operation manager",700,"2019.08",197,0,897,"Operation"
14,"Robert L",4,"Operation manager",700,"2019.08",280,0,980,"Operation"
15,"Alex N",5,"Department Head",2500,"2019.08",312,0,2812,"Marketing"
16,"Nick T",5,"SEO Specialist",1500,"2019.08",107,0,1607,"Marketing"
17,"Vladimir K",5,"PPC Specialist",1250,"2019.08",0,0,1250,"Marketing"
18,"Inga D",5,"SMM Specialist",1000,"2019.08",298,0,1298,"Marketing"
19,"Svetlana U",5,"Designer",1000,"2019.08",413,0,1413,"Marketing"
1,"Alex T",1,"Department Head",3000,"2019.09",253,0,3253,"Analytics"
2,"John M",1,"Analyst",1800,"2019.09",0,43,1757,"Analytics"
3,"Anna M",1,"Junior Analyst",1000,"2019.09",188,46,1142,"Analytics"
4,"Yuriy A",2,"Department Head",2200,"2019.09",51,0,2251,"Sales"
5,"Julia R",2,"Sales Manager",1300,"2019.09",0,0,1300,"Sales"
6,"Piter O",2,"Sales Manager",1300,"2019.09",0,0,1300,"Sales"
7,"Sergey P",2,"Sales Manager",1300,"2019.09",0,0,1300,"Sales"
8,"Andrew F",3,"Department Head",3000,"2019.09",0,0,3000,"Programming"
9,"Galina S",3,"Programmer",2000,"2019.09",0,15,1985,"Programming"
10,"Igor L",3,"Junior Programmer",1000,"2019.09",0,70,930,"Programming"
11,"Kirill O",4,"Department Head",1300,"2019.09",291,0,1591,"Operation"
12,"Olga M",4,"Operation manager",700,"2019.09",261,0,961,"Operation"
13,"Evgeniy N",4,"Operation manager",700,"2019.09",256,0,956,"Operation"
14,"Robert L",4,"Operation manager",700,"2019.09",164,38,826,"Operation"
15,"Alex N",5,"Department Head",2500,"2019.09",0,0,2500,"Marketing"
16,"Nick T",5,"SEO Specialist",1500,"2019.09",0,29,1471,"Marketing"
17,"Vladimir K",5,"PPC Specialist",1250,"2019.09",117,0,1367,"Marketing"
18,"Inga D",5,"SMM Specialist",1000,"2019.09",78,0,1078,"Marketing"
19,"Svetlana U",5,"Designer",1000,"2019.09",183,0,1183,"Marketing"
1,"Alex T",1,"Department Head",3000,"2019.10",114,0,3114,"Analytics"
2,"John M",1,"Analyst",1800,"2019.10",0,50,1750,"Analytics"
3,"Anna M",1,"Junior Analyst",1000,"2019.10",0,0,1000,"Analytics"
4,"Yuriy A",2,"Department Head",2200,"2019.10",0,0,2200,"Sales"
5,"Julia R",2,"Sales Manager",1300,"2019.10",0,0,1300,"Sales"
6,"Piter O",2,"Sales Manager",1300,"2019.10",0,36,1264,"Sales"
7,"Sergey P",2,"Sales Manager",1300,"2019.10",153,0,1453,"Sales"
8,"Andrew F",3,"Department Head",3000,"2019.10",152,0,3152,"Programming"
9,"Galina S",3,"Programmer",2000,"2019.10",120,0,2120,"Programming"
10,"Igor L",3,"Junior Programmer",1000,"2019.10",0,0,1000,"Programming"
11,"Kirill O",4,"Department Head",1300,"2019.10",148,0,1448,"Operation"
12,"Olga M",4,"Operation manager",700,"2019.10",0,0,700,"Operation"
13,"Evgeniy N",4,"Operation manager",700,"2019.10",0,0,700,"Operation"
14,"Robert L",4,"Operation manager",700,"2019.10",0,85,615,"Operation"
15,"Alex N",5,"Department Head",2500,"2019.10",0,33,2467,"Marketing"
16,"Nick T",5,"SEO Specialist",1500,"2019.10",91,39,1552,"Marketing"
17,"Vladimir K",5,"PPC Specialist",1250,"2019.10",192,46,1396,"Marketing"
18,"Inga D",5,"SMM Specialist",1000,"2019.10",271,0,1271,"Marketing"
19,"Svetlana U",5,"Designer",1000,"2019.10",0,0,1000,"Marketing"
1,"Alex T",1,"Department Head",3000,"2019.11",0,0,3000,"Analytics"
2,"John M",1,"Analyst",1800,"2019.11",0,75,1725,"Analytics"
3,"Anna M",1,"Junior Analyst",1000,"2019.11",0,48,952,"Analytics"
4,"Yuriy A",2,"Department Head",2200,"2019.11",244,28,2416,"Sales"
5,"Julia R",2,"Sales Manager",1300,"2019.11",0,21,1279,"Sales"
6,"Piter O",2,"Sales Manager",1300,"2019.11",0,70,1230,"Sales"
7,"Sergey P",2,"Sales Manager",1300,"2019.11",0,60,1240,"Sales"
8,"Andrew F",3,"Department Head",3000,"2019.11",0,69,2931,"Programming"
9,"Galina S",3,"Programmer",2000,"2019.11",96,0,2096,"Programming"
10,"Igor L",3,"Junior Programmer",1000,"2019.11",0,86,914,"Programming"
11,"Kirill O",4,"Department Head",1300,"2019.11",0,0,1300,"Operation"
12,"Olga M",4,"Operation manager",700,"2019.11",0,0,700,"Operation"
13,"Evgeniy N",4,"Operation manager",700,"2019.11",0,0,700,"Operation"
14,"Robert L",4,"Operation manager",700,"2019.11",92,40,752,"Operation"
15,"Alex N",5,"Department Head",2500,"2019.11",138,17,2621,"Marketing"
16,"Nick T",5,"SEO Specialist",1500,"2019.11",240,37,1703,"Marketing"
17,"Vladimir K",5,"PPC Specialist",1250,"2019.11",197,0,1447,"Marketing"
18,"Inga D",5,"SMM Specialist",1000,"2019.11",376,126,1250,"Marketing"
19,"Svetlana U",5,"Designer",1000,"2019.11",175,38,1137,"Marketing"
1,"Alex T",1,"Department Head",3000,"2019.12",153,48,3105,"Analytics"
2,"John M",1,"Analyst",1800,"2019.12",0,0,1800,"Analytics"
3,"Anna M",1,"Junior Analyst",1000,"2019.12",0,0,1000,"Analytics"
4,"Yuriy A",2,"Department Head",2200,"2019.12",0,0,2200,"Sales"
5,"Julia R",2,"Sales Manager",1300,"2019.12",0,24,1276,"Sales"
6,"Piter O",2,"Sales Manager",1300,"2019.12",0,0,1300,"Sales"
7,"Sergey P",2,"Sales Manager",1300,"2019.12",65,0,1365,"Sales"
8,"Andrew F",3,"Department Head",3000,"2019.12",143,0,3143,"Programming"
9,"Galina S",3,"Programmer",2000,"2019.12",0,0,2000,"Programming"
10,"Igor L",3,"Junior Programmer",1000,"2019.12",0,0,1000,"Programming"
11,"Kirill O",4,"Department Head",1300,"2019.12",125,0,1425,"Operation"
12,"Olga M",4,"Operation manager",700,"2019.12",277,0,977,"Operation"
13,"Evgeniy N",4,"Operation manager",700,"2019.12",0,0,700,"Operation"
14,"Robert L",4,"Operation manager",700,"2019.12",0,25,675,"Operation"
15,"Alex N",5,"Department Head",2500,"2019.12",199,67,2632,"Marketing"
16,"Nick T",5,"SEO Specialist",1500,"2019.12",0,42,1458,"Marketing"
17,"Vladimir K",5,"PPC Specialist",1250,"2019.12",0,0,1250,"Marketing"
18,"Inga D",5,"SMM Specialist",1000,"2019.12",110,0,1110,"Marketing"
19,"Svetlana U",5,"Designer",1000,"2019.12",251,36,1215,"Marketing"
1,"Alex T",1,"Department Head",3000,"2020.01",357,40,3317,"Analytics"
2,"John M",1,"Analyst",1800,"2020.01",0,0,1800,"Analytics"
3,"Anna M",1,"Junior Analyst",1000,"2020.01",158,23,1135,"Analytics"
4,"Yuriy A",2,"Department Head",2200,"2020.01",345,46,2499,"Sales"
5,"Julia R",2,"Sales Manager",1300,"2020.01",0,18,1282,"Sales"
6,"Piter O",2,"Sales Manager",1300,"2020.01",398,73,1625,"Sales"
7,"Sergey P",2,"Sales Manager",1300,"2020.01",211,0,1511,"Sales"
8,"Andrew F",3,"Department Head",3000,"2020.01",77,0,3077,"Programming"
9,"Galina S",3,"Programmer",2000,"2020.01",0,27,1973,"Programming"
10,"Igor L",3,"Junior Programmer",1000,"2020.01",0,33,967,"Programming"
11,"Kirill O",4,"Department Head",1300,"2020.01",289,54,1535,"Operation"
12,"Olga M",4,"Operation manager",700,"2020.01",0,0,700,"Operation"
13,"Evgeniy N",4,"Operation manager",700,"2020.01",0,0,700,"Operation"
14,"Robert L",4,"Operation manager",700,"2020.01",63,0,763,"Operation"
15,"Alex N",5,"Department Head",2500,"2020.01",315,30,2785,"Marketing"
16,"Nick T",5,"SEO Specialist",1500,"2020.01",230,24,1706,"Marketing"
17,"Vladimir K",5,"PPC Specialist",1250,"2020.01",0,26,1224,"Marketing"
18,"Inga D",5,"SMM Specialist",1000,"2020.01",0,83,917,"Marketing"
19,"Svetlana U",5,"Designer",1000,"2020.01",318,0,1318,"Marketing"
1,"Alex T",1,"Department Head",3000,"2020.02",0,60,2940,"Analytics"
2,"John M",1,"Analyst",1800,"2020.02",137,0,1937,"Analytics"
3,"Anna M",1,"Junior Analyst",1000,"2020.02",250,0,1250,"Analytics"
4,"Yuriy A",2,"Department Head",2200,"2020.02",0,58,2142,"Sales"
5,"Julia R",2,"Sales Manager",1300,"2020.02",172,21,1451,"Sales"
6,"Piter O",2,"Sales Manager",1300,"2020.02",0,39,1261,"Sales"
7,"Sergey P",2,"Sales Manager",1300,"2020.02",0,13,1287,"Sales"
8,"Andrew F",3,"Department Head",3000,"2020.02",82,0,3082,"Programming"
9,"Galina S",3,"Programmer",2000,"2020.02",0,66,1934,"Programming"
10,"Igor L",3,"Junior Programmer",1000,"2020.02",153,0,1153,"Programming"
11,"Kirill O",4,"Department Head",1300,"2020.02",0,0,1300,"Operation"
12,"Olga M",4,"Operation manager",700,"2020.02",275,0,975,"Operation"
13,"Evgeniy N",4,"Operation manager",700,"2020.02",0,0,700,"Operation"
14,"Robert L",4,"Operation manager",700,"2020.02",0,0,700,"Operation"
15,"Alex N",5,"Department Head",2500,"2020.02",0,47,2453,"Marketing"
16,"Nick T",5,"SEO Specialist",1500,"2020.02",0,0,1500,"Marketing"
17,"Vladimir K",5,"PPC Specialist",1250,"2020.02",0,13,1237,"Marketing"
18,"Inga D",5,"SMM Specialist",1000,"2020.02",0,0,1000,"Marketing"
19,"Svetlana U",5,"Designer",1000,"2020.02",188,0,1188,"Marketing"
1,"Alex T",1,"Department Head",3000,"2020.03",0,0,3000,"Analytics"
2,"John M",1,"Analyst",1800,"2020.03",0,0,1800,"Analytics"
3,"Anna M",1,"Junior Analyst",1000,"2020.03",0,0,1000,"Analytics"
4,"Yuriy A",2,"Department Head",2200,"2020.03",0,0,2200,"Sales"
5,"Julia R",2,"Sales Manager",1300,"2020.03",0,0,1300,"Sales"
6,"Piter O",2,"Sales Manager",1300,"2020.03",0,0,1300,"Sales"
7,"Sergey P",2,"Sales Manager",1300,"2020.03",0,0,1300,"Sales"
8,"Andrew F",3,"Department Head",3000,"2020.03",0,0,3000,"Programming"
9,"Galina S",3,"Programmer",2000,"2020.03",0,0,2000,"Programming"
10,"Igor L",3,"Junior Programmer",1000,"2020.03",0,0,1000,"Programming"
11,"Kirill O",4,"Department Head",1300,"2020.03",0,0,1300,"Operation"
12,"Olga M",4,"Operation manager",700,"2020.03",0,0,700,"Operation"
13,"Evgeniy N",4,"Operation manager",700,"2020.03",0,0,700,"Operation"
14,"Robert L",4,"Operation manager",700,"2020.03",0,0,700,"Operation"
15,"Alex N",5,"Department Head",2500,"2020.03",0,0,2500,"Marketing"
16,"Nick T",5,"SEO Specialist",1500,"2020.03",0,0,1500,"Marketing"
17,"Vladimir K",5,"PPC Specialist",1250,"2020.03",0,0,1250,"Marketing"
18,"Inga D",5,"SMM Specialist",1000,"2020.03",0,0,1000,"Marketing"
19,"Svetlana U",5,"Designer",1000,"2020.03",0,0,1000,"Marketing"
